,alpha_power_1,alpha_power_2,alpha_power_3,alpha_power_4,alpha_power_5,alpha_power_6,alpha_power_7,alpha_power_8,beta_power_1,beta_power_2,beta_power_3,beta_power_4,beta_power_5,beta_power_6,beta_power_7,beta_power_8,gamma_power_1,gamma_power_2,gamma_power_3,gamma_power_4,gamma_power_5,gamma_power_6,gamma_power_7,gamma_power_8,theta_power_1,theta_power_2,theta_power_3,theta_power_4,theta_power_5,theta_power_6,theta_power_7,theta_power_8,label
39,0.006654835,0.008434284,0.006451577,0.011594638,0.008073263,0.009618817,0.021615739,0.008282391,0.011756012,0.046235307,0.036920188,0.014886186,0.04434206,0.042754387,0.032213459,0.015604851,0.047077261,0.132614866,0.081919112,0.065714844,0.134370217,0.105541601,0.080380856,0.081213778,0.03127968,0.061563172,0.024428469,0.017796403,0.058349533,0.0650931,0.053666631,0.028970016,pain
40,0.032765569,0.07574778,0.00660189,0.022811818,0.027322613,0.146456376,0.066299588,0.050611354,0.065957592,0.053753887,0.0076097,0.031164947,0.012217681,0.08638205,0.038659166,0.048596505,0.211205444,0.068447769,0.122055031,0.059831375,0.052356779,0.11529545,0.04644405,0.085349445,0.042727407,0.07993165,0.019342178,0.018472863,0.044181334,0.12726726,0.071377667,0.059811994,yoga
41,0.014550221,0.164199782,0.129627432,0.101031818,0.216904741,0.207697842,0.216770833,0.178226764,0.031081426,0.075083113,0.052892263,0.042714715,0.078704173,0.089743425,0.085069903,0.088279371,0.0338969,0.078757666,0.251520417,0.539332667,0.057178305,0.080947868,0.085270519,0.048623289,0.017780861,0.117958128,0.083387666,0.067301949,0.126637071,0.138316536,0.132647146,0.133316975,yoga
42,0.06212078,0.089021542,0.06005072,0.063692904,0.167301397,0.182416177,0.181177929,0.151723778,0.131241629,0.059568053,0.029354435,0.032061205,0.07141414,0.083111548,0.078272732,0.080062958,0.144215983,0.108252816,0.206130849,0.66962969,0.09537607,0.149842531,0.132192564,0.100602479,0.072734584,0.073107043,0.043671736,0.047917038,0.10735366,0.121833756,0.119073854,0.113562297,yoga
43,0.022452674,0.133636318,0.104698621,0.057490985,0.191653382,0.185785253,0.196365602,0.169855838,0.047394549,0.089524275,0.0570969,0.028054354,0.082547524,0.083335371,0.077366409,0.078928351,0.053821414,0.131144351,0.378460336,0.70843751,0.049511313,0.127262748,0.115686394,0.045046651,0.028531716,0.117935264,0.076388036,0.046455415,0.138013843,0.137438977,0.131127443,0.136845392,yoga
44,0.04654886,0.038842415,0.015189391,0.015918263,0.018968932,0.06667005,0.054155046,0.01531802,0.08856869,0.095625715,0.022076181,0.014969802,0.029092721,0.038347452,0.039057609,0.021596843,0.102100607,0.318813922,0.040344544,0.042106296,0.064124163,0.038339298,0.067182042,0.035665121,0.069,0.04089089,0.035557802,0.036273342,0.037240392,0.07023365,0.060765075,0.03495378,yoga
45,0.015939362,0.011517192,0.011517503,0.050044347,0.012286891,0.020992433,0.012365903,0.01166623,0.028035358,0.012816027,0.013499835,0.039817946,0.014508591,0.057982944,0.015506627,0.014074431,0.035399524,0.006976774,0.010735215,0.377555504,0.01377831,0.204394461,0.015830698,0.012351662,0.032287125,0.03110086,0.03104231,0.063142731,0.031662765,0.032975269,0.032484889,0.03099015,yoga
46,0.049218548,0.030526831,0.017890678,0.062437999,0.026364877,0.013293652,0.045015162,0.050541893,0.109736018,0.039899751,0.03504417,0.057149231,0.037050923,0.014461595,0.11571047,0.102715128,0.132263124,0.132360874,0.103362974,0.168920576,0.144714788,0.010783425,0.502346894,0.358610713,0.073701075,0.036265544,0.031168276,0.061820872,0.038234661,0.035064963,0.03070306,0.037607929,yoga
47,0.088200403,0.025573947,0.028589494,0.06467961,0.047527926,0.080053913,0.069013252,0.046380104,0.196907604,0.033634938,0.04090122,0.063720529,0.052784838,0.054018974,0.049283164,0.030539138,0.232238178,0.134223735,0.125848984,0.196442537,0.285635346,0.243284899,0.46800353,0.06569624,0.117792724,0.023241489,0.021853174,0.055385477,0.040788886,0.045685658,0.033480456,0.029763193,yoga
48,0.01927326,0.020727343,0.012502457,0.066670558,0.014580943,0.013740511,0.034795313,0.033757389,0.028905627,0.020362843,0.013614202,0.043098023,0.015561681,0.015911111,0.067601594,0.110171486,0.023288825,0.066950229,0.007552721,0.116048145,0.014715122,0.014008477,0.272858097,0.402478698,0.039117814,0.013863278,0.032978114,0.037522644,0.035867068,0.035038945,0.031003898,0.02913535,yoga
49,0.054554578,0.058226868,0.058392231,0.119400619,0.08530071,0.141146381,0.123277038,0.10415473,0.116609592,0.042136852,0.044013843,0.066203367,0.043190138,0.06160427,0.053162585,0.047652107,0.127349105,0.089043582,0.074776206,0.109372084,0.176544391,0.175388882,0.367998226,0.045125567,0.064515031,0.041797952,0.038875872,0.077782973,0.055020154,0.060826308,0.044884765,0.048684709,yoga
50,0.047687955,0.011124184,0.026507846,0.055854829,0.036592248,0.033174072,0.011285388,0.070879764,0.108339595,0.013647743,0.081928174,0.057264119,0.075192222,0.129427297,0.016444094,0.049989434,0.143770596,0.008740751,0.423809233,0.107565853,0.332984756,0.542641897,0.025460274,0.092992203,0.071252313,0.03083785,0.030075118,0.080699749,0.048946584,0.032173151,0.028217006,0.066757437,yoga
51,0.040129878,0.034458267,0.011947927,0.073438505,0.024040245,0.01075209,0.042119404,0.080625276,0.085648143,0.039086576,0.013385775,0.051463653,0.034251747,0.01195757,0.126239736,0.046118839,0.098838122,0.107759456,0.028398673,0.093543906,0.122575791,0.01071355,0.511841891,0.102788707,0.063328191,0.040713185,0.025589192,0.071111521,0.033598571,0.02810717,0.029671207,0.052554202,yoga
52,0.090494691,0.025526609,0.02831989,0.050255036,0.033756028,0.071217212,0.066195177,0.0593657,0.207816241,0.040596329,0.056913004,0.066708218,0.062278825,0.052683159,0.055842813,0.042935774,0.242587258,0.166559277,0.182541846,0.253016543,0.333325317,0.275606502,0.492719597,0.089073611,0.111539049,0.028701843,0.02880886,0.057222651,0.039519175,0.051969987,0.037537992,0.049007182,yoga
53,0.071294354,0.034734322,0.035932797,0.085791784,0.055719233,0.089901012,0.078615347,0.052057767,0.160996166,0.033004758,0.041902806,0.061462698,0.036140293,0.046476533,0.040386852,0.030671312,0.186767049,0.100658384,0.088004318,0.146603829,0.185523584,0.212540394,0.453926536,0.044293184,0.095379125,0.033405355,0.028672811,0.074924025,0.04487217,0.053171407,0.039065419,0.037048038,yoga
